"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 08 19:15:09 GMT 2024","Sun Dec 08 19:15:09 GMT 2024","99","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Sun Dec 08 19:15:08 GMT 2024","Sun Dec 08 19:15:08 GMT 2024","402","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
"passed","Sun Dec 08 19:15:08 GMT 2024","Sun Dec 08 19:15:09 GMT 2024","234","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Sun Dec 08 19:15:08 GMT 2024","Sun Dec 08 19:15:08 GMT 2024","230","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Sun Dec 08 19:15:09 GMT 2024","Sun Dec 08 19:15:09 GMT 2024","98","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
