"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 16:44:27 GMT 2025","Thu May 15 16:44:28 GMT 2025","219","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Thu May 15 16:44:26 GMT 2025","Thu May 15 16:44:26 GMT 2025","427","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
"passed","Thu May 15 16:44:26 GMT 2025","Thu May 15 16:44:27 GMT 2025","314","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Thu May 15 16:44:27 GMT 2025","Thu May 15 16:44:27 GMT 2025","320","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Thu May 15 16:44:27 GMT 2025","Thu May 15 16:44:27 GMT 2025","301","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
