"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Component Test for the Get Brewery Endpoint","","1","0","1","0","0"
"","Component Test for the Random Brewery Endpoint","","1","0","2","0","0"
