"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 06 19:18:14 GMT 2025","Fri Jun 06 19:18:14 GMT 2025","222","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Fri Jun 06 19:18:13 GMT 2025","Fri Jun 06 19:18:14 GMT 2025","255","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Fri Jun 06 19:18:14 GMT 2025","Fri Jun 06 19:18:14 GMT 2025","252","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
"passed","Fri Jun 06 19:18:13 GMT 2025","Fri Jun 06 19:18:13 GMT 2025","229","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Fri Jun 06 19:18:13 GMT 2025","Fri Jun 06 19:18:13 GMT 2025","334","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
