"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 19:17:32 GMT 2025","Sun Aug 17 19:17:32 GMT 2025","268","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Sun Aug 17 19:17:30 GMT 2025","Sun Aug 17 19:17:31 GMT 2025","419","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
"passed","Sun Aug 17 19:17:31 GMT 2025","Sun Aug 17 19:17:31 GMT 2025","335","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Sun Aug 17 19:17:31 GMT 2025","Sun Aug 17 19:17:32 GMT 2025","374","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
"passed","Sun Aug 17 19:17:31 GMT 2025","Sun Aug 17 19:17:31 GMT 2025","280","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
