"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 19:16:46 GMT 2025","Thu Feb 20 19:16:46 GMT 2025","162","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Thu Feb 20 19:16:46 GMT 2025","Thu Feb 20 19:16:46 GMT 2025","231","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Thu Feb 20 19:16:46 GMT 2025","Thu Feb 20 19:16:46 GMT 2025","231","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Thu Feb 20 19:16:45 GMT 2025","Thu Feb 20 19:16:46 GMT 2025","405","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
"passed","Thu Feb 20 19:16:46 GMT 2025","Thu Feb 20 19:16:46 GMT 2025","104","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
