"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 28 19:17:19 GMT 2025","Thu Aug 28 19:17:21 GMT 2025","1178","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
"passed","Thu Aug 28 19:17:21 GMT 2025","Thu Aug 28 19:17:22 GMT 2025","728","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Thu Aug 28 19:17:21 GMT 2025","Thu Aug 28 19:17:21 GMT 2025","680","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Thu Aug 28 19:17:23 GMT 2025","Thu Aug 28 19:17:23 GMT 2025","699","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Thu Aug 28 19:17:22 GMT 2025","Thu Aug 28 19:17:23 GMT 2025","647","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
