"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 10 19:15:05 GMT 2025","Fri Jan 10 19:15:05 GMT 2025","362","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
"passed","Fri Jan 10 19:15:06 GMT 2025","Fri Jan 10 19:15:06 GMT 2025","68","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Fri Jan 10 19:15:05 GMT 2025","Fri Jan 10 19:15:06 GMT 2025","132","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Fri Jan 10 19:15:06 GMT 2025","Fri Jan 10 19:15:06 GMT 2025","95","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
"passed","Fri Jan 10 19:15:05 GMT 2025","Fri Jan 10 19:15:05 GMT 2025","116","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
