"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Component Test for the Get Brewery Endpoint","1","0","","0"
"0","","0","Component Test for the Random Brewery Endpoint","3","0","","0"
