"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 19:19:27 GMT 2025","Wed Jul 16 19:19:27 GMT 2025","287","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Wed Jul 16 19:19:26 GMT 2025","Wed Jul 16 19:19:26 GMT 2025","135","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Wed Jul 16 19:19:26 GMT 2025","Wed Jul 16 19:19:26 GMT 2025","303","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Wed Jul 16 19:19:26 GMT 2025","Wed Jul 16 19:19:27 GMT 2025","276","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
"passed","Wed Jul 16 19:19:26 GMT 2025","Wed Jul 16 19:19:26 GMT 2025","286","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
