"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 22 19:17:55 GMT 2025","Thu May 22 19:17:55 GMT 2025","250","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Thu May 22 19:17:55 GMT 2025","Thu May 22 19:17:55 GMT 2025","99","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Thu May 22 19:17:54 GMT 2025","Thu May 22 19:17:55 GMT 2025","269","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Thu May 22 19:17:55 GMT 2025","Thu May 22 19:17:55 GMT 2025","154","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
"passed","Thu May 22 19:17:54 GMT 2025","Thu May 22 19:17:54 GMT 2025","350","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
