"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Component Test for the Random Brewery Endpoint","3","0","","0"
"0","","0","Component Test for the Get Brewery Endpoint","2","0","","0"
