"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 16 19:17:30 GMT 2025","Fri May 16 19:17:31 GMT 2025","290","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Fri May 16 19:17:31 GMT 2025","Fri May 16 19:17:31 GMT 2025","273","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Fri May 16 19:17:31 GMT 2025","Fri May 16 19:17:32 GMT 2025","306","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Fri May 16 19:17:31 GMT 2025","Fri May 16 19:17:31 GMT 2025","281","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
"passed","Fri May 16 19:17:30 GMT 2025","Fri May 16 19:17:30 GMT 2025","553","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
