"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 19:15:24 GMT 2025","Mon Feb 10 19:15:24 GMT 2025","46","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
"passed","Mon Feb 10 19:15:23 GMT 2025","Mon Feb 10 19:15:24 GMT 2025","329","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
"passed","Mon Feb 10 19:15:24 GMT 2025","Mon Feb 10 19:15:24 GMT 2025","52","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
"passed","Mon Feb 10 19:15:24 GMT 2025","Mon Feb 10 19:15:24 GMT 2025","78","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Mon Feb 10 19:15:24 GMT 2025","Mon Feb 10 19:15:24 GMT 2025","63","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
