"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 25 19:16:27 GMT 2025","Wed Jun 25 19:16:27 GMT 2025","273","","Attempt to Retrieve Brewery with Invalid ID","","","","Attempt to Retrieve Brewery with Invalid ID",""
"passed","Wed Jun 25 19:16:27 GMT 2025","Wed Jun 25 19:16:27 GMT 2025","245","","Retrieve Multiple Random Breweries","","","","Retrieve Multiple Random Breweries",""
"passed","Wed Jun 25 19:16:27 GMT 2025","Wed Jun 25 19:16:27 GMT 2025","283","","Retrieve a Single Random Brewery","","","","Retrieve a Single Random Brewery",""
"passed","Wed Jun 25 19:16:26 GMT 2025","Wed Jun 25 19:16:27 GMT 2025","399","","Retrieve Brewery Successfully","","","","Retrieve Brewery Successfully",""
"passed","Wed Jun 25 19:16:27 GMT 2025","Wed Jun 25 19:16:28 GMT 2025","253","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size","","","","Attempt to Retrieve Random Breweries with Out-of-Bounds Size",""
